title,publisher,publishedDate,authors,ISBN
Deep Learning,MIT Press,2016-11-18,"Ian Goodfellow, Yoshua Bengio, Aaron Courville",9780262035613
"Hands-On Machine Learning with Scikit-Learn, Keras, and Tensorflow",null,2022-11-15,Aurélien Géron,1098125975
Machine Learning,MIT Press,2012-08-24,Kevin P. Murphy,9780262018029
Pattern Recognition and Machine Learning,Springer Verlag,2006-08-17,Christopher M. Bishop,0387310738
"Reinforcement Learning, second edition",MIT Press,2018-11-13,"Richard S. Sutton, Andrew G. Barto",9780262039246
Probabilistic Machine Learning,MIT Press,2022-03-01,Kevin P. Murphy,9780262046824
Keratoconus,Springer,2022-07-09,"Edna Almodin, Belquiz Amaral Nassaralla, Jordana Sandes",3030853608
Natural Language Processing with Transformers,O'Reilly Media,2022-03-31,"Lewis Tunstall, Leandro von Werra, Thomas Wolf",1098103246
Machine Learning Design Patterns,null,2021-01-12,"Valliappa Lakshmanan, Sara Robinson, Michael Munn",1098115783
Book not found,,,,9781098152888
Book not found,,,,9781098128432
Deep Reinforcement Learning Hands-On - Second Edition,null,2020-01-31,Maxim Lapan,1838826998
Delta Lake: Up and Running,O'Reilly Media,2023-11-30,"Bennie Haelen, Dan Davis",1098139720
Graph Representation Learning,Morgan & Claypool,2020-09-16,William L. Hamilton,1681739631
Controlling Institutions,Cambridge University Press,2011-03-03,Randall W. Stone,110700540X
Deep Learning with PyTorch,Manning,2020-08-04,"Eli Stevens, Luca Antiga, Thomas Viehmann",9781617295263
Build Your Own Robot,Simon and Schuster,2024-03-05,Marwan Alsabbagh,9781633438453
"Deep Learning with Python, Second Edition",Simon and Schuster,2021-12-21,"Francois Chollet, François Chollet",9781617296864
Magnetic Material for Motor Drive Systems,Springer,2021-01-19,Keisuke Fujisaki,9813299088
Transformers for Natural Language Processing,null,2021-01-28,Denis Rothman,1800565798
Zed Attack Proxy Cookbook,null,2023-03-10,"RYAN. TORRES SOPER (NESTOR. ALMOAILU, AHMED.), Nestor N Torres, Ahmed Almoailu",1801817332
Customizing ASP.NET Core 6.0,Packt Publishing Ltd,2021-12-31,Jürgen Gutsch,9781803243818
Automated Machine Learning,Springer,2019-05-17,"Frank Hutter, Lars Kotthoff, Joaquin Vanschoren",9783030053185
